order_id,order_date,category,product_name,unit_price,quantity,payment_method,payment_status,total_sales,order_month,order_day
ORD-10052,2026-02-02 07:00:00,Fashion,Kemeja Casual,250000,2,E-Wallet,Paid,500000,2026-02,Monday
ORD-10053,2026-06-17 06:00:00,Home & Living,Lampu Meja,150000,3,Credit Card,Paid,450000,2026-06,Wednesday
ORD-10054,2026-01-02 10:00:00,Gadgets,Smartwatch,1200000,2,Midtrans - QRIS,Paid,2400000,2026-01,Friday
ORD-10055,2026-05-12 08:00:00,Home & Living,Lampu Meja,150000,3,Midtrans - Bank Transfer,Paid,450000,2026-05,Tuesday
ORD-10056,2026-03-23 11:00:00,Home & Living,Lampu Meja,150000,2,Midtrans - QRIS,Paid,300000,2026-03,Monday
ORD-10057,2026-03-08 01:00:00,Gadgets,Smartwatch,1200000,1,Midtrans - Bank Transfer,Paid,1200000,2026-03,Sunday
ORD-10058,2026-06-14 07:00:00,Fashion,Kemeja Casual,250000,3,Credit Card,Paid,750000,2026-06,Sunday
ORD-10059,2026-05-09 01:00:00,Accessories,Headphone Bluetooth,450000,1,Credit Card,Paid,450000,2026-05,Saturday
ORD-10060,2026-02-12 13:00:00,Home & Living,Lampu Meja,150000,2,Midtrans - QRIS,Paid,300000,2026-02,Thursday
ORD-10061,2026-05-25 05:00:00,Accessories,Headphone Bluetooth,450000,1,Credit Card,Paid,450000,2026-05,Monday
ORD-10062,2026-04-19 21:00:00,Fashion,Kemeja Casual,250000,3,Credit Card,Paid,750000,2026-04,Sunday
ORD-10063,2026-08-06 17:00:00,Electronics,Laptop,8500000,3,E-Wallet,Paid,25500000,2026-08,Thursday
ORD-10064,2026-06-10 03:00:00,Accessories,Headphone Bluetooth,450000,3,Midtrans - QRIS,Paid,1350000,2026-06,Wednesday
ORD-10065,2026-03-04 12:00:00,Gadgets,Smartwatch,1200000,1,E-Wallet,Paid,1200000,2026-03,Wednesday
ORD-10066,2026-07-19 22:00:00,Gadgets,Smartwatch,1200000,2,Midtrans - Bank Transfer,Paid,2400000,2026-07,Sunday
ORD-10067,2026-01-07 17:00:00,Electronics,Laptop,8500000,2,Midtrans - Bank Transfer,Paid,17000000,2026-01,Wednesday
ORD-10068,2026-06-29 01:00:00,Gadgets,Smartwatch,1200000,2,Credit Card,Pending,2400000,2026-06,Monday
ORD-10069,2026-03-24 13:00:00,Fashion,Kemeja Casual,250000,3,Credit Card,Paid,750000,2026-03,Tuesday
ORD-10070,2026-02-11 11:00:00,Accessories,Headphone Bluetooth,450000,3,Midtrans - Bank Transfer,Paid,1350000,2026-02,Wednesday
ORD-10071,2026-07-24 15:00:00,Accessories,Headphone Bluetooth,450000,3,Midtrans - Bank Transfer,Paid,1350000,2026-07,Friday
ORD-10072,2026-05-20 06:00:00,Gadgets,Smartwatch,1200000,2,Credit Card,Paid,2400000,2026-05,Wednesday
ORD-10073,2026-07-09 15:00:00,Fashion,Kemeja Casual,250000,3,Midtrans - Bank Transfer,Paid,750000,2026-07,Thursday
ORD-10074,2026-06-08 06:00:00,Accessories,Headphone Bluetooth,450000,1,Midtrans - QRIS,Paid,450000,2026-06,Monday
ORD-10075,2026-02-23 03:00:00,Accessories,Headphone Bluetooth,450000,3,Midtrans - QRIS,Paid,1350000,2026-02,Monday
ORD-10076,2026-02-12 08:00:00,Electronics,Laptop,8500000,2,Credit Card,Paid,17000000,2026-02,Thursday
ORD-10077,2026-01-15 01:00:00,Home & Living,Lampu Meja,150000,1,Midtrans - Bank Transfer,Paid,150000,2026-01,Thursday
ORD-10078,2026-02-06 14:00:00,Home & Living,Lampu Meja,150000,1,Midtrans - Bank Transfer,Paid,150000,2026-02,Friday
ORD-10079,2026-02-14 20:00:00,Gadgets,Smartwatch,1200000,1,Credit Card,Paid,1200000,2026-02,Saturday
ORD-10080,2026-07-23 15:00:00,Home & Living,Lampu Meja,150000,2,Credit Card,Paid,300000,2026-07,Thursday
ORD-10081,2026-06-16 09:00:00,Fashion,Kemeja Casual,250000,1,Midtrans - QRIS,Paid,250000,2026-06,Tuesday
ORD-10082,2026-07-22 11:00:00,Electronics,Laptop,8500000,1,Midtrans - Bank Transfer,Paid,8500000,2026-07,Wednesday
ORD-10083,2026-01-16 19:00:00,Home & Living,Lampu Meja,150000,1,Midtrans - Bank Transfer,Paid,150000,2026-01,Friday
ORD-10084,2026-01-21 12:00:00,Gadgets,Smartwatch,1200000,1,Credit Card,Paid,1200000,2026-01,Wednesday
ORD-10085,2026-08-08 20:00:00,Accessories,Headphone Bluetooth,450000,1,Midtrans - Bank Transfer,Paid,450000,2026-08,Saturday
ORD-10086,2026-03-27 22:00:00,Gadgets,Smartwatch,1200000,3,Credit Card,Paid,3600000,2026-03,Friday
ORD-10087,2026-06-11 20:00:00,Home & Living,Lampu Meja,150000,1,E-Wallet,Paid,150000,2026-06,Thursday
ORD-10088,2026-01-03 16:00:00,Fashion,Kemeja Casual,250000,1,Credit Card,Paid,250000,2026-01,Saturday
ORD-10089,2026-04-18 00:00:00,Fashion,Kemeja Casual,250000,1,Midtrans - Bank Transfer,Paid,250000,2026-04,Saturday
ORD-10090,2026-08-07 16:00:00,Accessories,Headphone Bluetooth,450000,1,Credit Card,Paid,450000,2026-08,Friday
ORD-10091,2026-03-26 11:00:00,Electronics,Laptop,8500000,3,Midtrans - QRIS,Paid,25500000,2026-03,Thursday
ORD-10092,2026-04-23 07:00:00,Gadgets,Smartwatch,1200000,1,Midtrans - QRIS,Failed,1200000,2026-04,Thursday
ORD-10093,2026-03-04 07:00:00,Home & Living,Lampu Meja,150000,2,Midtrans - QRIS,Paid,300000,2026-03,Wednesday
ORD-10094,2026-08-08 02:00:00,Accessories,Headphone Bluetooth,450000,1,Credit Card,Paid,450000,2026-08,Saturday
ORD-10095,2026-01-17 07:00:00,Home & Living,Lampu Meja,150000,2,Credit Card,Paid,300000,2026-01,Saturday
ORD-10096,2026-07-08 02:00:00,Gadgets,Smartwatch,1200000,3,E-Wallet,Paid,3600000,2026-07,Wednesday
ORD-10097,2026-07-06 10:00:00,Gadgets,Smartwatch,1200000,2,Midtrans - QRIS,Paid,2400000,2026-07,Monday
ORD-10098,2026-05-29 09:00:00,Fashion,Kemeja Casual,250000,1,Midtrans - Bank Transfer,Paid,250000,2026-05,Friday
ORD-10099,2026-04-05 22:00:00,Accessories,Headphone Bluetooth,450000,2,Midtrans - Bank Transfer,Failed,900000,2026-04,Sunday
ORD-10100,2026-05-10 03:00:00,Fashion,Kemeja Casual,250000,1,Credit Card,Failed,250000,2026-05,Sunday
ORD-10101,2026-01-09 08:00:00,Home & Living,Lampu Meja,150000,2,Midtrans - QRIS,Paid,300000,2026-01,Friday
ORD-10102,2026-07-23 03:00:00,Electronics,Laptop,8500000,2,E-Wallet,Paid,17000000,2026-07,Thursday
ORD-10103,2026-05-10 08:00:00,Electronics,Laptop,8500000,3,E-Wallet,Paid,25500000,2026-05,Sunday
ORD-10104,2026-07-11 14:00:00,Gadgets,Smartwatch,1200000,1,Midtrans - Bank Transfer,Paid,1200000,2026-07,Saturday
ORD-10105,2026-04-13 06:00:00,Accessories,Headphone Bluetooth,450000,1,Midtrans - Bank Transfer,Paid,450000,2026-04,Monday
ORD-10106,2026-06-01 21:00:00,Gadgets,Smartwatch,1200000,2,Midtrans - QRIS,Paid,2400000,2026-06,Monday
ORD-10107,2026-02-03 12:00:00,Electronics,Laptop,8500000,1,Midtrans - Bank Transfer,Failed,8500000,2026-02,Tuesday
ORD-10108,2026-04-24 19:00:00,Accessories,Headphone Bluetooth,450000,1,Midtrans - Bank Transfer,Paid,450000,2026-04,Friday
ORD-10109,2026-04-26 13:00:00,Electronics,Laptop,8500000,3,E-Wallet,Paid,25500000,2026-04,Sunday
ORD-10110,2026-03-07 10:00:00,Gadgets,Smartwatch,1200000,2,Credit Card,Paid,2400000,2026-03,Saturday
ORD-10111,2026-07-30 16:00:00,Fashion,Kemeja Casual,250000,1,Midtrans - Bank Transfer,Paid,250000,2026-07,Thursday
ORD-10112,2026-04-23 02:00:00,Accessories,Headphone Bluetooth,450000,3,Midtrans - Bank Transfer,Paid,1350000,2026-04,Thursday
ORD-10113,2026-06-10 00:00:00,Electronics,Laptop,8500000,1,Credit Card,Paid,8500000,2026-06,Wednesday
ORD-10114,2026-02-12 20:00:00,Fashion,Kemeja Casual,250000,3,Credit Card,Paid,750000,2026-02,Thursday
ORD-10115,2026-01-21 22:00:00,Gadgets,Smartwatch,1200000,1,Midtrans - Bank Transfer,Paid,1200000,2026-01,Wednesday
ORD-10116,2026-07-07 05:00:00,Electronics,Laptop,8500000,3,E-Wallet,Paid,25500000,2026-07,Tuesday
ORD-10117,2026-02-06 06:00:00,Home & Living,Lampu Meja,150000,3,E-Wallet,Paid,450000,2026-02,Friday
ORD-10118,2026-07-07 00:00:00,Fashion,Kemeja Casual,250000,2,Midtrans - QRIS,Paid,500000,2026-07,Tuesday
ORD-10119,2026-01-09 14:00:00,Accessories,Headphone Bluetooth,450000,2,E-Wallet,Paid,900000,2026-01,Friday
ORD-10120,2026-08-02 22:00:00,Gadgets,Smartwatch,1200000,1,Midtrans - Bank Transfer,Paid,1200000,2026-08,Sunday
ORD-10121,2026-03-03 20:00:00,Gadgets,Smartwatch,1200000,1,Midtrans - QRIS,Paid,1200000,2026-03,Tuesday
ORD-10122,2026-02-05 23:00:00,Gadgets,Smartwatch,1200000,3,Credit Card,Paid,3600000,2026-02,Thursday
ORD-10123,2026-04-27 06:00:00,Fashion,Kemeja Casual,250000,3,Credit Card,Paid,750000,2026-04,Monday
ORD-10124,2026-01-24 11:00:00,Home & Living,Lampu Meja,150000,3,E-Wallet,Paid,450000,2026-01,Saturday
ORD-10125,2026-08-02 04:00:00,Gadgets,Smartwatch,1200000,3,Midtrans - Bank Transfer,Paid,3600000,2026-08,Sunday
ORD-10126,2026-06-24 15:00:00,Home & Living,Lampu Meja,150000,3,E-Wallet,Pending,450000,2026-06,Wednesday
ORD-10127,2026-03-15 05:00:00,Home & Living,Lampu Meja,150000,2,Midtrans - QRIS,Paid,300000,2026-03,Sunday
ORD-10128,2026-03-11 22:00:00,Accessories,Headphone Bluetooth,450000,2,Credit Card,Pending,900000,2026-03,Wednesday
ORD-10129,2026-05-16 02:00:00,Gadgets,Smartwatch,1200000,3,E-Wallet,Paid,3600000,2026-05,Saturday
ORD-10130,2026-07-13 04:00:00,Gadgets,Smartwatch,1200000,2,Midtrans - QRIS,Paid,2400000,2026-07,Monday
ORD-10131,2026-02-14 03:00:00,Accessories,Headphone Bluetooth,450000,2,Midtrans - Bank Transfer,Paid,900000,2026-02,Saturday
ORD-10132,2026-08-08 23:00:00,Gadgets,Smartwatch,1200000,2,Credit Card,Paid,2400000,2026-08,Saturday
ORD-10133,2026-03-13 18:00:00,Electronics,Laptop,8500000,2,Midtrans - Bank Transfer,Paid,17000000,2026-03,Friday
ORD-10134,2026-05-19 02:00:00,Gadgets,Smartwatch,1200000,2,Credit Card,Paid,2400000,2026-05,Tuesday
ORD-10135,2026-05-12 13:00:00,Gadgets,Smartwatch,1200000,1,Midtrans - QRIS,Paid,1200000,2026-05,Tuesday
ORD-10136,2026-04-20 09:00:00,Accessories,Headphone Bluetooth,450000,3,Midtrans - QRIS,Paid,1350000,2026-04,Monday
ORD-10137,2026-04-24 17:00:00,Gadgets,Smartwatch,1200000,1,Midtrans - QRIS,Paid,1200000,2026-04,Friday
ORD-10138,2026-03-08 13:00:00,Fashion,Kemeja Casual,250000,2,Midtrans - Bank Transfer,Paid,500000,2026-03,Sunday
ORD-10139,2026-05-08 12:00:00,Electronics,Laptop,8500000,2,Credit Card,Paid,17000000,2026-05,Friday
ORD-10140,2026-04-23 05:00:00,Fashion,Kemeja Casual,250000,3,E-Wallet,Paid,750000,2026-04,Thursday
ORD-10141,2026-07-23 19:00:00,Fashion,Kemeja Casual,250000,1,Midtrans - QRIS,Paid,250000,2026-07,Thursday
ORD-10142,2026-08-03 11:00:00,Fashion,Kemeja Casual,250000,1,Credit Card,Paid,250000,2026-08,Monday
ORD-10143,2026-06-01 03:00:00,Electronics,Laptop,8500000,3,E-Wallet,Paid,25500000,2026-06,Monday
ORD-10144,2026-02-26 19:00:00,Accessories,Headphone Bluetooth,450000,1,Midtrans - QRIS,Paid,450000,2026-02,Thursday
ORD-10145,2026-03-24 13:00:00,Home & Living,Lampu Meja,150000,3,E-Wallet,Paid,450000,2026-03,Tuesday
ORD-10146,2026-03-11 07:00:00,Electronics,Laptop,8500000,2,Midtrans - Bank Transfer,Paid,17000000,2026-03,Wednesday
ORD-10147,2026-03-05 17:00:00,Electronics,Laptop,8500000,2,E-Wallet,Paid,17000000,2026-03,Thursday
ORD-10148,2026-03-26 22:00:00,Accessories,Headphone Bluetooth,450000,2,Credit Card,Paid,900000,2026-03,Thursday
ORD-10149,2026-05-18 14:00:00,Accessories,Headphone Bluetooth,450000,3,Midtrans - Bank Transfer,Paid,1350000,2026-05,Monday
ORD-10150,2026-04-04 05:00:00,Gadgets,Smartwatch,1200000,2,Credit Card,Paid,2400000,2026-04,Saturday
ORD-10151,2026-02-24 10:00:00,Fashion,Kemeja Casual,250000,3,Midtrans - Bank Transfer,Paid,750000,2026-02,Tuesday
ORD-10152,2026-06-17 21:00:00,Accessories,Headphone Bluetooth,450000,1,E-Wallet,Paid,450000,2026-06,Wednesday
ORD-10153,2026-04-22 11:00:00,Electronics,Laptop,8500000,3,Midtrans - QRIS,Paid,25500000,2026-04,Wednesday
ORD-10154,2026-07-31 04:00:00,Gadgets,Smartwatch,1200000,1,Midtrans - Bank Transfer,Paid,1200000,2026-07,Friday
ORD-10155,2026-02-23 10:00:00,Gadgets,Smartwatch,1200000,1,E-Wallet,Paid,1200000,2026-02,Monday
ORD-10156,2026-01-30 13:00:00,Accessories,Headphone Bluetooth,450000,2,E-Wallet,Paid,900000,2026-01,Friday
ORD-10157,2026-07-17 16:00:00,Gadgets,Smartwatch,1200000,1,Midtrans - QRIS,Paid,1200000,2026-07,Friday
ORD-10158,2026-07-03 21:00:00,Fashion,Kemeja Casual,250000,3,E-Wallet,Paid,750000,2026-07,Friday
ORD-10159,2026-06-06 04:00:00,Electronics,Laptop,8500000,3,Midtrans - QRIS,Paid,25500000,2026-06,Saturday
ORD-10160,2026-07-19 03:00:00,Gadgets,Smartwatch,1200000,2,E-Wallet,Paid,2400000,2026-07,Sunday
ORD-10161,2026-01-28 15:00:00,Accessories,Headphone Bluetooth,450000,1,Midtrans - Bank Transfer,Paid,450000,2026-01,Wednesday
ORD-10162,2026-03-25 06:00:00,Electronics,Laptop,8500000,3,E-Wallet,Paid,25500000,2026-03,Wednesday
ORD-10163,2026-05-24 13:00:00,Electronics,Laptop,8500000,3,E-Wallet,Paid,25500000,2026-05,Sunday
ORD-10164,2026-06-05 23:00:00,Gadgets,Smartwatch,1200000,3,E-Wallet,Paid,3600000,2026-06,Friday
ORD-10165,2026-03-04 07:00:00,Gadgets,Smartwatch,1200000,3,E-Wallet,Paid,3600000,2026-03,Wednesday
ORD-10166,2026-05-18 16:00:00,Gadgets,Smartwatch,1200000,1,Midtrans - Bank Transfer,Paid,1200000,2026-05,Monday
ORD-10167,2026-06-06 19:00:00,Gadgets,Smartwatch,1200000,2,Midtrans - QRIS,Paid,2400000,2026-06,Saturday
ORD-10168,2026-08-07 00:00:00,Electronics,Laptop,8500000,1,E-Wallet,Paid,8500000,2026-08,Friday
ORD-10169,2026-03-19 05:00:00,Gadgets,Smartwatch,1200000,2,Midtrans - Bank Transfer,Paid,2400000,2026-03,Thursday
ORD-10170,2026-07-14 03:00:00,Electronics,Laptop,8500000,3,Midtrans - QRIS,Paid,25500000,2026-07,Tuesday
ORD-10171,2026-02-23 19:00:00,Electronics,Laptop,8500000,1,Midtrans - QRIS,Pending,8500000,2026-02,Monday
ORD-10172,2026-05-30 05:00:00,Electronics,Laptop,8500000,1,Credit Card,Paid,8500000,2026-05,Saturday
ORD-10173,2026-05-25 01:00:00,Fashion,Kemeja Casual,250000,2,Credit Card,Paid,500000,2026-05,Monday
ORD-10174,2026-03-10 04:00:00,Home & Living,Lampu Meja,150000,3,Midtrans - QRIS,Paid,450000,2026-03,Tuesday
ORD-10175,2026-06-04 00:00:00,Gadgets,Smartwatch,1200000,2,E-Wallet,Pending,2400000,2026-06,Thursday
ORD-10176,2026-05-05 23:00:00,Fashion,Kemeja Casual,250000,2,Midtrans - QRIS,Paid,500000,2026-05,Tuesday
ORD-10177,2026-05-12 08:00:00,Fashion,Kemeja Casual,250000,2,Midtrans - QRIS,Paid,500000,2026-05,Tuesday
ORD-10178,2026-01-30 02:00:00,Gadgets,Smartwatch,1200000,2,Midtrans - Bank Transfer,Paid,2400000,2026-01,Friday
ORD-10179,2026-04-01 00:00:00,Home & Living,Lampu Meja,150000,2,Credit Card,Paid,300000,2026-04,Wednesday
ORD-10180,2026-06-20 17:00:00,Fashion,Kemeja Casual,250000,2,E-Wallet,Paid,500000,2026-06,Saturday
ORD-10181,2026-07-17 09:00:00,Fashion,Kemeja Casual,250000,1,Midtrans - QRIS,Paid,250000,2026-07,Friday
ORD-10182,2026-02-05 14:00:00,Electronics,Laptop,8500000,3,Midtrans - QRIS,Paid,25500000,2026-02,Thursday
ORD-10183,2026-05-25 18:00:00,Accessories,Headphone Bluetooth,450000,3,Credit Card,Paid,1350000,2026-05,Monday
ORD-10184,2026-08-07 17:00:00,Electronics,Laptop,8500000,1,Midtrans - Bank Transfer,Paid,8500000,2026-08,Friday
ORD-10185,2026-08-04 12:00:00,Accessories,Headphone Bluetooth,450000,2,E-Wallet,Paid,900000,2026-08,Tuesday
ORD-10186,2026-03-13 03:00:00,Gadgets,Smartwatch,1200000,1,E-Wallet,Paid,1200000,2026-03,Friday
ORD-10187,2026-04-26 17:00:00,Gadgets,Smartwatch,1200000,1,Credit Card,Paid,1200000,2026-04,Sunday
ORD-10188,2026-03-14 05:00:00,Fashion,Kemeja Casual,250000,1,E-Wallet,Paid,250000,2026-03,Saturday
ORD-10189,2026-07-25 11:00:00,Accessories,Headphone Bluetooth,450000,3,Midtrans - QRIS,Paid,1350000,2026-07,Saturday
ORD-10190,2026-05-27 06:00:00,Home & Living,Lampu Meja,150000,3,Credit Card,Paid,450000,2026-05,Wednesday
ORD-10191,2026-01-09 10:00:00,Fashion,Kemeja Casual,250000,2,Midtrans - Bank Transfer,Paid,500000,2026-01,Friday
ORD-10192,2026-05-16 15:00:00,Home & Living,Lampu Meja,150000,2,Midtrans - Bank Transfer,Paid,300000,2026-05,Saturday
ORD-10193,2026-06-25 18:00:00,Electronics,Laptop,8500000,3,Credit Card,Paid,25500000,2026-06,Thursday
ORD-10194,2026-07-07 08:00:00,Accessories,Headphone Bluetooth,450000,1,E-Wallet,Paid,450000,2026-07,Tuesday
ORD-10195,2026-02-01 22:00:00,Home & Living,Lampu Meja,150000,3,E-Wallet,Paid,450000,2026-02,Sunday
ORD-10196,2026-07-02 21:00:00,Electronics,Laptop,8500000,3,E-Wallet,Paid,25500000,2026-07,Thursday
ORD-10197,2026-04-07 23:00:00,Gadgets,Smartwatch,1200000,1,E-Wallet,Paid,1200000,2026-04,Tuesday
ORD-10198,2026-05-03 03:00:00,Fashion,Kemeja Casual,250000,3,Midtrans - Bank Transfer,Paid,750000,2026-05,Sunday
ORD-10199,2026-01-09 05:00:00,Accessories,Headphone Bluetooth,450000,3,Credit Card,Paid,1350000,2026-01,Friday
ORD-10200,2026-03-22 10:00:00,Accessories,Headphone Bluetooth,450000,1,Midtrans - QRIS,Failed,450000,2026-03,Sunday
ORD-10201,2026-05-30 06:00:00,Fashion,Kemeja Casual,250000,2,Credit Card,Paid,500000,2026-05,Saturday
ORD-10202,2026-01-26 08:00:00,Accessories,Headphone Bluetooth,450000,2,Credit Card,Paid,900000,2026-01,Monday
ORD-10203,2026-05-17 08:00:00,Accessories,Headphone Bluetooth,450000,1,Midtrans - Bank Transfer,Paid,450000,2026-05,Sunday
ORD-10204,2026-02-17 19:00:00,Fashion,Kemeja Casual,250000,1,Midtrans - Bank Transfer,Paid,250000,2026-02,Tuesday
ORD-10205,2026-06-28 10:00:00,Accessories,Headphone Bluetooth,450000,1,E-Wallet,Paid,450000,2026-06,Sunday
ORD-10206,2026-05-22 13:00:00,Home & Living,Lampu Meja,150000,1,E-Wallet,Paid,150000,2026-05,Friday
ORD-10207,2026-04-15 15:00:00,Accessories,Headphone Bluetooth,450000,3,Midtrans - Bank Transfer,Paid,1350000,2026-04,Wednesday
ORD-10208,2026-03-16 18:00:00,Gadgets,Smartwatch,1200000,2,E-Wallet,Paid,2400000,2026-03,Monday
ORD-10209,2026-01-28 11:00:00,Fashion,Kemeja Casual,250000,3,Midtrans - Bank Transfer,Paid,750000,2026-01,Wednesday
ORD-10210,2026-04-28 03:00:00,Accessories,Headphone Bluetooth,450000,2,Midtrans - QRIS,Paid,900000,2026-04,Tuesday
